"name","label","type","fieldType","groupName","createdAt","updatedAt"
"hs_product_name","Product name","string","text","engagement","2019-12-12T14:41:18.651Z","2025-03-18T22:37:02.448Z"
"hs_queue_membership_ids","Queue Memberships","enumeration","checkbox","engagement","2019-12-12T14:41:18.436Z","2025-03-18T22:37:02.448Z"
"hs_read_only","Read only object","bool","booleancheckbox","callinformation",,
"hs_shared_team_ids","Shared teams","enumeration","checkbox","callinformation",,
"hs_shared_user_ids","Shared users","enumeration","checkbox","callinformation",,
"hs_timestamp","Activity date","datetime","date","engagement","2019-12-12T14:41:18.539Z","2025-03-18T22:37:02.448Z"
"hs_unique_creation_key","Unique creation key","string","text","callinformation",,
"hs_unique_id","Unique ID","string","text","engagement","2019-12-12T14:41:18.602Z","2025-03-18T22:37:02.448Z"
"hs_unknown_visitor_conversation","Unknown Visitor Conversation","bool","booleancheckbox","call","2019-12-12T14:41:18.381Z","2025-03-18T22:37:02.448Z"
"hs_updated_by_user_id","Updated by user ID","number","number","callinformation",,
"hs_user_ids_of_all_notification_followers","User IDs of all notification followers","enumeration","checkbox","callinformation",,
"hs_user_ids_of_all_notification_unfollowers","User IDs of all notification unfollowers","enumeration","checkbox","callinformation",,
"hs_user_ids_of_all_owners","User IDs of all owners","enumeration","checkbox","callinformation",,
"hs_voice_agent_caller_requested_live_agent","Voice Agent Caller Requested Live Agent","bool","booleancheckbox","call","2025-07-10T16:09:32.863Z","2025-10-21T15:33:35.706Z"
"hs_voice_agent_escalated_to_live_agent","Voice Agent Escalated To Live Agent","bool","booleancheckbox","call","2025-07-09T20:14:54.882Z","2025-10-21T15:32:20.071Z"
"hs_voice_agent_is_most_recent_customer_feedback_positive","Voice Agent Is Most Recent Customer Feedback Positive","bool","booleancheckbox","call","2025-10-03T18:53:29.689Z","2025-10-08T18:00:50.373Z"
"hs_voicemail_count","Voicemail count","number","number","call","2023-05-10T14:16:40.423Z","2025-03-18T22:37:02.448Z"
"hs_was_imported","Performed in an import","bool","booleancheckbox","callinformation",,
"hubspot_owner_assigneddate","Owner assigned date","datetime","date","engagement","2019-12-12T14:41:18.248Z","2024-08-28T22:14:26.856Z"
"hubspot_owner_id","Activity assigned to","enumeration","select","engagement","2019-12-12T14:41:18.355Z","2023-01-10T23:43:41.247Z"
"hubspot_team_id","HubSpot Team","enumeration","select","engagement","2019-12-12T14:41:18.138Z","2024-11-04T20:39:27.702Z"
"original_created_date","Original Created Date","date","date","callinformation","2025-06-13T13:40:55.416Z","2025-06-13T13:40:55.416Z"
"sales_performance_summary","Sales Performance Summary","string","textarea","callinformation","2025-09-16T16:44:03.673Z","2025-09-16T16:44:03.673Z"
