"name","label","type","fieldType","groupName","createdAt","updatedAt"
"hs_emails_connected_count","Emails Connected Count","number","calculation_rollup","lead_information","2023-06-30T16:31:42.377Z","2023-06-30T16:31:42.377Z"
"hs_emails_connected_count_v2","Connected emails count v2","number","calculation_rollup","lead_information","2024-10-18T15:45:18.562Z","2025-03-19T17:03:14.280Z"
"hs_last_activity_date","Last Activity Date","datetime","date","lead_information","2023-07-12T15:18:08.574Z","2024-03-20T03:57:47.789Z"
"hs_last_engagement_timestamp","Last Engagement Date","datetime","calculation_equation","lead_information","2023-09-19T18:27:49.037Z","2024-03-11T21:44:16.217Z"
"hs_last_engagement_type","Last Engagement Type","enumeration","calculation_equation","lead_information","2023-09-19T18:32:21.656Z","2024-03-20T19:25:04.839Z"
"hs_last_webpage_visit_timestamp","Lead Time of Last Session","datetime","calculation_equation","lead_information","2023-09-28T14:37:15.023Z","2024-03-11T21:36:43.277Z"
"hs_lastmodifieddate","Object last modified date/time","datetime","date","lead_information",,
"hs_lead_associated_deal_pipeline_stage","Associated Deal Pipeline Stage","enumeration","select","lead_information","2023-04-04T13:39:52.064Z","2025-03-19T17:03:14.280Z"
"hs_lead_associated_deals_count","Associated deals","number","number","lead_information","2023-04-25T16:12:59.282Z","2023-08-16T18:44:06.976Z"
"hs_lead_call_count","Call Count","number","number","lead_information","2023-07-11T13:41:45.881Z","2023-10-23T19:45:29.658Z"
"hs_lead_closed_won_deals_amount","Closed won deal amount","number","number","lead_information","2023-04-05T20:33:26.052Z","2025-03-19T17:03:14.280Z"
"hs_lead_communication_count","Message Thread Count","number","number","lead_information","2023-07-12T15:28:26.898Z","2023-10-23T19:59:59.532Z"
"hs_lead_currency_code","Currency","enumeration","select","lead_information","2023-04-05T20:14:07.373Z","2025-03-19T17:03:14.280Z"
"hs_lead_disqualification_note","Lead Disqualification Note","string","textarea","lead_information","2023-03-23T14:20:19.686Z","2025-03-19T17:03:14.280Z"
"hs_lead_disqualification_reason","Reason Why Lead Isn't Proceeding?","enumeration","select","lead_information","2023-04-25T16:44:25.370Z","2023-10-19T16:20:20.160Z"
"hs_lead_email_count","Email Count","number","number","lead_information","2023-07-11T19:11:01.536Z","2023-10-23T19:58:53.027Z"
"hs_lead_first_outreach_date","First Outreach Date","datetime","date","lead_information","2023-04-05T15:34:30.470Z","2025-03-19T17:03:14.280Z"
"hs_lead_flow_id","Lead flow id","number","number","lead_information","2024-07-22T21:48:49.352Z","2025-03-19T17:03:14.280Z"
"hs_lead_import_unique_key","Import Unique Key","string","text","lead_information","2024-07-26T16:10:52.574Z","2025-03-19T17:03:14.280Z"
"hs_lead_inferred_pseudostage","Lead Inferred Pseudostage","string","calculation_equation","lead_information","2023-06-30T20:26:03.327Z","2023-06-30T20:26:03.327Z"
"hs_lead_is_disqualified","Is Disqualified","number","number","lead_information","2023-07-10T19:21:20.316Z","2025-03-19T17:03:14.280Z"
"hs_lead_is_in_progress","In progress leads","number","number","lead_information","2023-04-07T15:01:15.573Z","2025-03-19T17:03:14.280Z"
"hs_lead_is_new","Is New","number","number","lead_information","2023-07-10T18:52:39.715Z","2025-03-19T17:03:14.280Z"
"hs_lead_is_open","Open leads","number","number","lead_information","2023-04-04T18:17:40.041Z","2025-03-19T17:03:14.280Z"
"hs_lead_is_open_v2","Is Open","bool","calculation_equation","lead_information","2025-02-14T16:20:24.045Z","2025-03-19T17:03:14.280Z"
"hs_lead_is_qualified","Is Qualified","number","number","lead_information","2023-07-10T19:03:23.748Z","2025-03-19T17:03:14.280Z"
